level,type,left,right,source,license,count
A2,matching,other,website,simplewiki,CC BY-SA,34715
A2,matching,national,team,simplewiki,CC BY-SA,6349
A2,matching,take,place,simplewiki,CC BY-SA,4574
A2,matching,many,people,simplewiki,CC BY-SA,3529
A2,matching,first,time,simplewiki,CC BY-SA,2953
A2,matching,same,name,simplewiki,CC BY-SA,2324
A2,matching,large,city,simplewiki,CC BY-SA,2290
A2,matching,japanese,football,simplewiki,CC BY-SA,2276
A2,matching,american,politician,simplewiki,CC BY-SA,2192
A2,matching,be,people,simplewiki,CC BY-SA,2185
A2,matching,same,time,simplewiki,CC BY-SA,2042
A2,matching,american,actor,simplewiki,CC BY-SA,2018
A2,matching,high,school,simplewiki,CC BY-SA,1974
A2,matching,other,country,simplewiki,CC BY-SA,1847
A2,matching,american,actress,simplewiki,CC BY-SA,1822
A2,matching,long,time,simplewiki,CC BY-SA,1808
A2,matching,american,singer,simplewiki,CC BY-SA,1673
A2,matching,political,party,simplewiki,CC BY-SA,1650
A2,matching,national,football,simplewiki,CC BY-SA,1633
A2,matching,same,year,simplewiki,CC BY-SA,1615
A2,matching,take,part,simplewiki,CC BY-SA,1549
A2,matching,other,people,simplewiki,CC BY-SA,1506
A2,matching,general,election,simplewiki,CC BY-SA,1506
A2,matching,congressional,district,simplewiki,CC BY-SA,1444
A2,matching,presidential,election,simplewiki,CC BY-SA,1419
A2,matching,play,game,simplewiki,CC BY-SA,1344
A2,matching,former,municipality,simplewiki,CC BY-SA,1261
A2,matching,female,frog,simplewiki,CC BY-SA,1260
A2,matching,first,album,simplewiki,CC BY-SA,1250
A2,matching,prime,minister,simplewiki,CC BY-SA,1237
A2,matching,score,goal,simplewiki,CC BY-SA,1204
A2,matching,total,area,simplewiki,CC BY-SA,1195
A2,matching,many,year,simplewiki,CC BY-SA,1194
A2,matching,early,century,simplewiki,CC BY-SA,1141
A2,matching,professional,ice,simplewiki,CC BY-SA,1107
A2,matching,present,day,simplewiki,CC BY-SA,1083
A2,matching,become,part,simplewiki,CC BY-SA,1076
A2,matching,most,people,simplewiki,CC BY-SA,1074
A2,matching,designate,place,simplewiki,CC BY-SA,1048
A2,matching,fictional,character,simplewiki,CC BY-SA,1021
A2,matching,different,type,simplewiki,CC BY-SA,1020
A2,matching,professional,footballer,simplewiki,CC BY-SA,983
A2,matching,human,right,simplewiki,CC BY-SA,977
A2,matching,reach,number,simplewiki,CC BY-SA,975
A2,matching,next,day,simplewiki,CC BY-SA,967
A2,matching,human,being,simplewiki,CC BY-SA,959
A2,matching,many,time,simplewiki,CC BY-SA,953
A2,matching,many,country,simplewiki,CC BY-SA,948
A2,matching,comic,book,simplewiki,CC BY-SA,943
A2,matching,large,number,simplewiki,CC BY-SA,938
A2,matching,related,page,simplewiki,CC BY-SA,936
A2,matching,civil,parish,simplewiki,CC BY-SA,932
A2,matching,tropical,storm,simplewiki,CC BY-SA,927
A2,matching,main,character,simplewiki,CC BY-SA,915
A2,matching,calais,department,simplewiki,CC BY-SA,901
A2,matching,give,birth,simplewiki,CC BY-SA,897
A2,matching,first,season,simplewiki,CC BY-SA,849
A2,matching,former,commune,simplewiki,CC BY-SA,842
A2,matching,small,town,simplewiki,CC BY-SA,836
A2,matching,positive,review,simplewiki,CC BY-SA,836
A2,matching,short,story,simplewiki,CC BY-SA,830
A2,matching,rear,end,simplewiki,CC BY-SA,815
A2,matching,other,thing,simplewiki,CC BY-SA,811
A2,matching,other,part,simplewiki,CC BY-SA,803
A2,matching,second,studio,simplewiki,CC BY-SA,803
A2,matching,american,movie,simplewiki,CC BY-SA,800
A2,matching,american,television,simplewiki,CC BY-SA,793
A2,matching,professional,wrestling,simplewiki,CC BY-SA,775
A2,matching,first,woman,simplewiki,CC BY-SA,770
A2,matching,next,year,simplewiki,CC BY-SA,764
A2,matching,professional,football,simplewiki,CC BY-SA,761
